customer_id,recency,frequency,price sum,price_mean,spend_90_total,spend_90_flag,pred_90_spend,pre_prob
1,-455.0,1,11.77,11.77,0.0,0.0,1.0976171,0.08377061
2,-444.0,2,89.0,44.5,0.0,0.0,2.2667716,0.08261252
3,-127.0,5,139.47,27.894,16.99,1.0,12.557591,0.24007767
4,-110.0,4,100.5,25.125,0.0,0.0,10.525474,0.2373407
5,-88.0,11,385.61,35.055454545454545,0.0,0.0,29.044432,0.4501786
6,-455.0,1,20.99,20.99,0.0,0.0,1.1539422,0.08377061
7,-10.0,3,264.67,88.22333333333334,0.0,0.0,32.424553,0.287525
8,-3.0,8,197.66,24.7075,0.0,0.0,30.080347,0.41963342
9,-323.0,2,53.87,26.935,41.98,1.0,3.331318,0.12123244
10,-435.0,1,39.31,39.31,0.0,0.0,1.2538695,0.091123454
11,-40.0,4,58.550000000000004,14.637500000000001,0.0,0.0,10.814544,0.323617
12,-455.0,1,57.06,57.06,0.0,0.0,2.1210084,0.08392411
13,-455.0,1,72.94,72.94,0.0,0.0,1.7148211,0.08392411
14,-455.0,1,29.92,29.92,0.0,0.0,1.1987839,0.08377061
15,-455.0,1,52.87,52.87,0.0,0.0,1.9063984,0.08377061
16,-203.0,4,79.87,19.9675,0.0,0.0,5.9066854,0.17484659
17,-455.0,1,73.22,73.22,0.0,0.0,1.7148211,0.08392411
18,-452.0,1,14.96,14.96,0.0,0.0,1.0976171,0.08377061
19,-295.0,2,175.12,87.56,0.0,0.0,6.483557,0.13587424
20,-438.0,2,653.01,326.505,0.0,0.0,2.2506366,0.08261252
21,-443.0,2,75.11,37.555,0.0,0.0,2.1925817,0.08261252
22,-455.0,1,14.37,14.37,0.0,0.0,1.0976171,0.08377061
23,-455.0,1,24.74,24.74,0.0,0.0,1.1987839,0.08377061
24,-71.0,2,57.77,28.885,0.0,0.0,5.4485297,0.1675533
25,-159.0,4,64.1,16.025,73.43,1.0,6.929439,0.2214542
26,-430.0,2,102.69,51.345,0.0,0.0,2.2667716,0.08261252
27,-444.0,2,135.87,67.935,0.0,0.0,1.9037918,0.08261252
28,-389.0,3,90.99,30.33,0.0,0.0,3.6744254,0.11779431
29,-150.0,11,387.36,35.21454545454546,48.45,1.0,29.926872,0.37093621
30,-411.0,2,28.34,14.17,0.0,0.0,1.2766919,0.10325909
31,-455.0,1,59.06,59.06,117.99000000000001,1.0,1.9347413,0.08392411
32,-21.0,3,78.21,26.069999999999997,0.0,0.0,13.084962,0.29486054
33,-19.0,25,1045.47,41.8188,0.0,0.0,160.63062,0.57475907
34,-455.0,1,23.14,23.14,0.0,0.0,1.1539422,0.08377061
35,-186.0,2,42.22,21.11,0.0,0.0,4.012273,0.15414605
